Speech Language Pathologist	3	intro	parsed_text	As someone who has been working with children and adults with speech conditions for [duration] years, I have diagnosed and provided therapy to patients with a wide variety of conditions.
Speech Language Pathologist	5	intro	parsed_text	I have worked with people with all [number] major categories of speech disorders: fluency, articulation and voice.
Sterile Processing Technician	3	intro	parsed_text	I have been in the health care industry for the past [duration] years and am ready to move into a job that requires the skills and responsibility that I have been building.
Sterile Processing Technician	5	intro	parsed_text	I started at [org] working in food service and have worked my way up in other departments in the hospital.
Store Manager	5	intro	parsed_text	As someone who is highly experienced with hiring, training and creating environments in which employees can thrive, I'm excited to help [org] grow that type of atmosphere.
Store Manager	9	intro	parsed_text	By combining my previous experience at other stores with [org] systems and philosophies, I can help the store continue to financially grow and be a pillar of the community for employees and customers.
Substitute Teacher	5	intro	parsed_text	I believe my skills and experience will help [org]'s students achieve their goals.
Superintendent	1	intro	parsed_text	As a child, I received my health care at [org].
Superintendent	5	intro	parsed_text	I have spent the last [duration] years as a Nursing [position] in a neighbouring state.
Supply Chain Manager	5	intro	parsed_text	[org] assembles superior software for today's faced-paced society.
Systems Analyst	5	intro	parsed_text	Since I am already motivated to work diligently and creatively in this role, I believe that I can be relied on to complete projects on time and do the very best work that I am capable of doing as a member of the IT team at [org].
Teacher	1	intro	parsed_text	My name is [user_name] and I am submitting my resume for your consideration.
Teacher	7	intro	parsed_text	I currently teach art history, honours and advanced placement at [org].
Teacher	9	intro	parsed_text	Although I love my job here, I would welcome the opportunity and additional challenge of teaching the exceptionally gifted art students at [org].
Teacher	11	intro	parsed_text	I have several ideas to better engage art history students that I believe would benefit the students at [org].
Teacher Aide	1	intro	parsed_text	I'm eager to apply for the Teacher's Aide position at [org].
Teaching Assistant	3	intro	parsed_text	I have a passion for sharing knowledge and inspiring students, and I am thrilled at the opportunity to make a positive impact on the community at [org].
Therapist	5	intro	parsed_text	I have always been both naturally empathetic and voraciously curious, and the combination of these [number] qualities created a strong desire to understand the inner workings of the human mind.
Training Specialist	7	intro	parsed_text	I enjoy technical training the most, which is one of the reasons I have decided to apply to [org].
Veterinarian	3	intro	parsed_text	I am a graduate of [org], where I studied biology and veterinary medicine under some of the nation's leading veterinary minds.
Veterinarian	5	intro	parsed_text	I gained my medical degree at [org] with the lone goal of becoming a Veterinarian, and now I'm excited about the possibility of working for you.
Veterinary Assistant	1	intro	parsed_text	I am writing to inquire about the [position] position at [location].
Veterinary Assistant	5	intro	parsed_text	from [org] and nearly a decade of real-world hospital experience, I believe that I would bring tremendous value to the table.
Veterinary Technician	3	intro	parsed_text	I am a certified [position] with more than [duration] years' experience working at a veterinary clinic as well as a lifetime of caring for animals while growing up on a farm.
Virtual Assistant	3	intro	parsed_text	I have worked from home for more than [duration] years and have virtually assisted a variety of clients.
